"actor","text","season","episode","title"
"Walter","My name is Walter Hartwell White. I live at 308 Negra Arroyo Lane Albuquerque, New Mexico, 87104. To all law enforcement entities, this is not an admission of guilt. I am speaking to my family now. Skyler you are the love of my life. I hope you know that. Walter Junior you're my big man. There are going to be some things. Things that you'll come to learn about me in the next few days. I just want you to know that no matter how it may look, I only had you in my heart. Goodbye.","1","01","The Pilot"
"Skyler","Happy Birthday.","1","01","The Pilot"
"Walter","Look at that.","1","01","The Pilot"
"Skyler","That is veggie bacon. Believe it or not. Zero cholesterol. You won't even taste the difference. What time do you think you'll be home?","1","01","The Pilot"
"Walter","Same time.","1","01","The Pilot"
"Skyler","I don't want him dicking you around tonight. You get paid till 5, you work till 5, no later.","1","01","The Pilot"
"Walter","Hey.","1","01","The Pilot"
"Walter Jr","Happy birthday.","1","01","The Pilot"
"Walter","Well, thank you.","1","01","The Pilot"
"Skyler","You're late again.","1","01","The Pilot"
"Walter Jr","There was no hot water again.","1","01","The Pilot"
"Skyler","I have an easy fix for that. You wake up early, and then you get to be the first person in the shower.","1","01","The Pilot"
"Walter Jr","I have an idea. How about buy a new hot water heater? How's that idea? For the millionth and billionth time.","1","01","The Pilot"
"Skyler","Did you take your Echinacea?","1","01","The Pilot"
"Walter","Yeah. I think it's getting better.","1","01","The Pilot"
"Walter Jr","What the hell is this?","1","01","The Pilot"
"Walter","It's veggie bacon. We're watching our cholesterol, I guess.","1","01","The Pilot"
"Walter Jr","Not me. I want real bacon. Not this fake crap.","1","01","The Pilot"
"Skyler","Too bad. Eat it.","1","01","The Pilot"
"Walter Jr","This smells like Band-aids.","1","01","The Pilot"
"Skyler","Eat it.","1","01","The Pilot"
"Walter Jr","So, how's it feel to be old?","1","01","The Pilot"
"Walter","How does it feel to be a smart ass?","1","01","The Pilot"
"Walter Jr","Good.","1","01","The Pilot"
"Walter","Eat your veggie bacon.","1","01","The Pilot"
"Walter","You all set?","1","01","The Pilot"
"Walter Jr","Yeah, I'm fine.","1","01","The Pilot"
"Walter","All right, see you at home.","1","01","The Pilot"
"Walter Jr","Okay, see you.","1","01","The Pilot"
"Walter","Chemistry. It is the study of what? Anyone? Ben.","1","01","The Pilot"
"Ben","Chemicals.","1","01","The Pilot"
"Walter","Chemicals! No! Chemistry is well, technically, chemistry is the study of matter. But I prefer to see it as the study of change. Now just just think about this. Electrons. They change their energy levels. Molecules. Molecules change their bonds. Elements. They combine and change into compounds. Well, that's all of life. Right? I mean, it's just It's the constant. It's the cycle. It's solution, dissolution, just over and over and over. It is growth, then decay, then transformation. It is fascinating, really. Chad, is there something wrong with your table? Okay. Ionic bonds Are you done? Ionic bonds. Chapter 6.","1","01","The Pilot"
"Walter","And 2, 3 makes 10, and 10 makes 20. Here's your receipt, and hand this claiming disc to your car wash professional. Thank you. Come again.","1","01","The Pilot"
"Bogdan","He's not coming. He said he quits. I'm gonna run the register.","1","01","The Pilot"
"Walter","Bogdan, no. We talked about this.","1","01","The Pilot"
"Bogdan","I'm shorthanded, Walter. What am I to do? Walter? What am I to do?","1","01","The Pilot"
"Chad","Hey, Mr. White! Make those tires shine, huh?","1","01","The Pilot"
"Chad’s Girlfriend","Oh, my God. You would not believe who's cleaning Chad's car. Mr. White from Chemistry.","1","01","The Pilot"
"Everyone","Surprise!","1","01","The Pilot"
"Walter Jr","Happy Birthday, Dad!","1","01","The Pilot"
"Skyler","You're so very late.","1","01","The Pilot"
